Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Hawari, Qusay; Kim, Taeseong; Fleming, James; ",LPV Hydrodynamic Controller for a 15MW Floating Offshore Wind Turbine,2024 UKACC 14th International Conference on Control (CONTROL),,,203-204,2024,IEEE
"Otoofi, Mohammad; Laine, Leo; Henderson, Leon; Midgley, William JB; Justham, Laura; Fleming, James; ",FrictionSegNet: Simultaneous Semantic Segmentation and Friction Estimation Using Hierarchical Latent Variable Models,IEEE Transactions on Intelligent Transportation Systems,,,,2024,IEEE
"Qamar, Samia; Hubbard, Peter; Midgley, Will; Fleming, James; ",Validation of an OpenOCL Model for Energy Efficient Electric Vehicle Control,2024 UKACC 14th International Conference on Control (CONTROL),,,219-220,2024,IEEE
"Rehman, Javaria Abdur; Lin, Zhengyu; Fleming, James; ",Model Predictive Control for Energy Management of Microgrids Considering Battery Degradation,2024 UKACC 14th International Conference on Control (CONTROL),,,205-206,2024,IEEE
"Krol, Jakub; Anvari, Bani; Rafter, Craig; Fleming, James; Yan, Xingda; Lot, Roberto; ",Modelling different penetration rates of automated eco-driving electric vehicles in an urban area,IEEE Transactions on Intelligent Transportation Systems,,,,2024,Institute of Electrical and Electronics Engineers
"Zhu, Yuxin; Wang, Fei; Lin, Zhengyu; Fleming, James; Shi, Tianling; Guo, Hui; Xu, Haoge; ",Impedance Shaping Method for System-Level Stabilization of Droop-Controlled DC Microgrids,IEEE Transactions on Energy Conversion,,,,2024,IEEE
"Fleming, James; Hawari, Qusay; ",Robust tube MPC using gain-scheduled policies for a class of LPV systems,IEEE Control Systems Letters,8,,1589-1594,2024,IEEE
"Uddin, Mazhar; Blanchard, Richard; Lin, Zhengyu; Fleming, James; ",A Review on Pakistan's Electrical Vehicle (EV) Policies: Lessons from South Asian Countries,"2024 International Symposium on Electrical, Electronics and Information Engineering (ISEEIE)",,,526-530,2024,IEEE
"Chen, Boli; Fleming, James; Dai, Li; Yu, Sheng; ",Introduction to Model Predictive Control,,,,,2024,Elsevier
"Lot, Roberto; Fleming, James; Chen, Boli; Evangelou, Simos; ",Eco-driving optimal control for electric vehicles with driver preferences,Transportation Engineering,19,,100302,2025,Elsevier
"Midgley, William; Fleming, James; Otoofi, Mohammad; ",Model-free estimation of friction coefficient for pneumatic braking systems,Transportation Engineering,20,,100314,2025,Elsevier
"Zhu, Yuxin; Wang, Fei; Lin, Zhengyu; Fleming, James; ",Hybrid Impedance-Based Controller Design of Grid-Connected Converter for Whole-System Stabilisation of Grid-Connected DC Microgrids,IEEE Access,,,,2025,IEEE
"OTOOFI, Mohammad; PANAHANDEH, Ghazaleh; FAGER, Olle; Henderson, Leon; Laine, Leo; MIDGLEY, William; Fleming, James; ",Prediction of road surface operating conditions,,,,,2025,"US Patent App. 18/905,508"
"Barbour, Edward; Urquhart, Andrew; de Oliveira Júnior, Maury Martins; Fleming, James; ",Thermal Storage Requirements for Flexible Low Carbon Heating,2025 IEEE Electrical Energy Storage Applications and Technologies Conference (EESAT),,,1-5,2025,IEEE
"Zhu, Yuxin; Wang, Fei; Lin, Zhengyu; Fleming, James; ",Operation optimisation of direct current microgrids toward stability and economy: a model-data co-driven framework,Communications Engineering,4,1,125,2025,Nature Publishing Group UK London
"Qamar, Samia; Hubbard, Peter; Midgley, Will; Fleming, James; ",Optimal Eco-Driving and User Preference Integration for Enhanced Energy Efficiency in AWD Electric Vehicles,"2025 International Conference on Control, Automation and Diagnosis (ICCAD)",,,1-6,2025,IEEE
"Abdallah, Mohammad; Hubbard, Peter; Fleming, James; ",A Trajectory Optimisation Approach for Motorcycles,2025 IEEE Intelligent Vehicles Symposium (IV),,,154-159,2025,IEEE
"Chen, Boli; Fleming, James; Dai, Li; Yu, Sheng; ",Introduction to Model Predictive Control,Encyclopedia of Systems and Control Engineering,1,1,309-328,2026,Elsevier
"Lightfoot, Raymond; Chen, Xiangjie; Fleming, James; ",Morris sensitivity analysis of building and occupancy related parameters affecting overheating in residential buildings in a temperate climate,Energy and Buildings,,,116551,2025,Elsevier
